"id","member_id","loan_amnt","funded_amnt","funded_amnt_inv","term","int_rate","installment","grade","sub_grade","emp_title","emp_length","home_ownership","annual_inc","verification_status","issue_d","loan_status","pymnt_plan","url","desc","purpose","title","zip_code","addr_state","dti","delinq_2yrs","earliest_cr_line","fico_range_low","fico_range_high","inq_last_6mths","mths_since_last_delinq","mths_since_last_record","open_acc","pub_rec","revol_bal","revol_util","total_acc","initial_list_status","out_prncp","out_prncp_inv","total_pymnt","total_pymnt_inv","total_rec_prncp","total_rec_int","total_rec_late_fee","recoveries","collection_recovery_fee","last_pymnt_d","last_pymnt_amnt","next_pymnt_d","last_credit_pull_d","last_fico_range_high","last_fico_range_low","collections_12_mths_ex_med","mths_since_last_major_derog","policy_code","application_type","annual_inc_joint","dti_joint","verification_status_joint","acc_now_delinq","tot_coll_amt","tot_cur_bal","open_acc_6m","open_act_il","open_il_12m","open_il_24m","mths_since_rcnt_il","total_bal_il","il_util","open_rv_12m","open_rv_24m","max_bal_bc","all_util","total_rev_hi_lim","inq_fi","total_cu_tl","inq_last_12m","acc_open_past_24mths","avg_cur_bal","bc_open_to_buy","bc_util","chargeoff_within_12_mths","delinq_amnt","mo_sin_old_il_acct","mo_sin_old_rev_tl_op","mo_sin_rcnt_rev_tl_op","mo_sin_rcnt_tl","mort_acc","mths_since_recent_bc","mths_since_recent_bc_dlq","mths_since_recent_inq","mths_since_recent_revol_delinq","num_accts_ever_120_pd","num_actv_bc_tl","num_actv_rev_tl","num_bc_sats","num_bc_tl","num_il_tl","num_op_rev_tl","num_rev_accts","num_rev_tl_bal_gt_0","num_sats","num_tl_120dpd_2m","num_tl_30dpd","num_tl_90g_dpd_24m","num_tl_op_past_12m","pct_tl_nvr_dlq","percent_bc_gt_75","pub_rec_bankruptcies","tax_liens","tot_hi_cred_lim","total_bal_ex_mort","total_bc_limit","total_il_high_credit_limit","revol_bal_joint","sec_app_fico_range_low","sec_app_fico_range_high","sec_app_earliest_cr_line","sec_app_inq_last_6mths","sec_app_mort_acc","sec_app_open_acc","sec_app_revol_util","sec_app_open_act_il","sec_app_num_rev_accts","sec_app_chargeoff_within_12_mths","sec_app_collections_12_mths_ex_med","sec_app_mths_since_last_major_derog","hardship_flag","hardship_type","hardship_reason","hardship_status","deferral_term","hardship_amount","hardship_start_date","hardship_end_date","payment_plan_start_date","hardship_length","hardship_dpd","hardship_loan_status","orig_projected_additional_accrued_interest","hardship_payoff_balance_amount","hardship_last_payment_amount","debt_settlement_flag","debt_settlement_flag_date","settlement_status","settlement_date","settlement_amount","settlement_percentage","settlement_term"
"126285300","","40000","40000","40000"," 36 months","  6.08%","1218.33","A","A2","Loss Mitigation Manager","< 1 year","MORTGAGE","100000","Source Verified","Dec-2017","Fully Paid","n","https://lendingclub.com/browse/loanDetail.action?loan_id=126285300","","debt_consolidation","Debt consolidation","928xx","CA","11.21","0","Aug-2005","780","784","0","","","14","0","21057","14.9%","18","w","0.00","0.00","41633.3828303294","41633.38","40000.00","1633.38","0.0","0.0","0.0","Oct-2018","31900.25","","Oct-2018","804","800","0","","1","Individual","","","","0","0","319215","2","2","2","2","2","36992","89","1","1","2268","32","141200","0","3","0","3","22801","50339","10.1","0","0","8","148","4","2","3","28","","20","","0","3","9","4","5","2","11","13","9","14","0","0","0","3","100","0","0","0","457900","58049","56000","41700","","","","","","","","","","","","","","N","","","","","","","","","","","","","","","N","","","","","",""
"126367373","","24000","24000","24000"," 60 months"," 15.05%","571.59","C","C4","Manager","6 years","MORTGAGE","65000","Not Verified","Dec-2017","Fully Paid","n","https://lendingclub.com/browse/loanDetail.action?loan_id=126367373","","debt_consolidation","Debt consolidation","462xx","IN","24.45","1","Aug-1999","705","709","0","15","","16","0","17749","39.9%","34","w","0.00","0.00","29944.2442902331","29944.24","24000.00","5944.24","0.0","0.0","0.0","Nov-2019","17549.86","","Dec-2019","769","765","0","","1","Individual","","","","0","0","139112","1","8","0","1","19","19366","45","1","1","6955","42","44500","0","0","0","3","8695","22688","42.4","0","0","220","149","5","5","4","5","15","16","15","0","4","6","5","8","16","7","14","6","16","0","0","0","1","97","60","0","0","191536","37115","39400","43286","","","","","","","","","","","","","","N","","","","","","","","","","","","","","","N","","","","","",""
"126392434","","6000","6000","6000"," 36 months"," 17.09%","214.19","D","D1","","n/a","MORTGAGE","34800","Verified","Dec-2017","Fully Paid","n","https://lendingclub.com/browse/loanDetail.action?loan_id=126392434","","home_improvement","Home improvement","782xx","TX","27.03","2","Apr-1996","705","709","0","13","","11","0","16754","59.4%","45","w","0.00","0.00","6376.2221087223","6376.22","6000.00","376.22","0.0","0.0","0.0","May-2018","5747.89","","Aug-2019","694","690","0","","1","Individual","","","","0","0","149843","0","1","1","2","12","18136","84","0","0","0","70","28200","1","14","1","3","13622","","","0","0","143","260","30","12","4","","","12","13","0","0","5","0","1","28","9","13","5","11","0","0","0","2","90.5","","0","0","169784","34890","0","21584","","","","","","","","","","","","","","N","","","","","","","","","","","","","","","N","","","","","",""
"126413271","","25000","25000","25000"," 60 months"," 12.62%","563.98","C","C1","Practice Administrator","1 year","RENT","105000","Not Verified","Dec-2017","Charged Off","n","https://lendingclub.com/browse/loanDetail.action?loan_id=126413271","","credit_card","Credit card refinancing","104xx","NY","24.75","0","Aug-1999","725","729","1","","","20","0","16295","49.4%","51","w","0.00","0.00","10107.82","10107.82","5926.73","4181.09","0.0","0.0","0.0","Jul-2019","563.98","","Nov-2019","609","605","0","","1","Individual","","","","0","0","116607","1","9","1","2","4","100312","86","1","2","6418","78","33000","1","0","1","4","5830","7705","67.9","0","0","159","220","8","4","0","17","","5","","0","3","3","4","11","18","11","33","3","20","0","0","0","2","100","75","0","0","149133","116607","24000","116133","","","","","","","","","","","","","","N","","","","","","","","","","","","","","","Y","Dec-2019","BROKEN","Oct-2019","9852","50","18"
"126389018","","35000","35000","35000"," 60 months"," 11.99%","778.38","B","B5","Project Manager ","< 1 year","RENT","65000","Source Verified","Dec-2017","Fully Paid","n","https://lendingclub.com/browse/loanDetail.action?loan_id=126389018","","debt_consolidation","Debt consolidation","926xx","CA","26.81","0","Oct-2005","740","744","0","","","5","0","21026","63.7%","16","w","0.00","0.00","41374.3920590974","41374.39","35000.00","6374.39","0.0","0.0","0.0","Nov-2019","4308.31","","Dec-2019","794","790","0","","1","Individual","","","","0","0","51125","0","2","0","2","17","25532","73","0","0","20936","69","33000","0","5","0","2","10225","11974","63.7","0","0","142","146","37","17","0","37","","","","0","2","2","2","2","12","2","3","2","5","0","0","0","0","100","50","0","0","73825","51125","33000","35182","","","","","","","","","","","","","","N","","","","","","","","","","","","","","","N","","","","","",""
"125602675","","13000","13000","13000"," 60 months"," 15.05%","309.62","C","C4","Sales manager","10+ years","RENT","72000","Source Verified","Dec-2017","Fully Paid","n","https://lendingclub.com/browse/loanDetail.action?loan_id=125602675","","debt_consolidation","Debt consolidation","333xx","FL","11.17","0","Jul-2005","705","709","0","","","4","0","12389","77.4%","13","w","0.00","0.00","13598.1284146718","13598.13","13000.00","598.13","0.0","0.0","0.0","Apr-2018","13006.06","","Apr-2018","764","760","0","","1","Individual","","","","0","0","23941","0","1","0","0","27","11552","62","0","0","11470","69","16000","0","6","0","0","5985","3530","76.5","0","0","88","149","59","27","0","59","","","","0","1","2","2","5","5","3","8","2","4","0","0","0","0","100","50","0","0","34782","23941","15000","18782","","","","","","","","","","","","","","N","","","","","","","","","","","","","","","N","","","","","",""
"126417318","","15000","15000","15000"," 36 months"," 10.42%","486.98","B","B3","Finance","3 years","RENT","55000","Source Verified","Dec-2017","Fully Paid","n","https://lendingclub.com/browse/loanDetail.action?loan_id=126417318","","debt_consolidation","Debt consolidation","981xx","WA","17.48","0","Aug-2008","670","674","0","","","28","0","12673","73.7%","44","w","0.00","0.00","16065.2506419577","16065.25","15000.00","1065.25","0.0","0.0","0.0","Sep-2018","12230.19","","Nov-2019","649","645","0","","1","Individual","","","","0","0","66150","0","24","0","1","17","53477","103","0","2","5113","95","17200","1","0","1","3","2450","2039","83.3","0","0","112","85","19","17","0","21","","11","","0","2","3","2","2","40","4","4","3","28","0","0","0","0","100","50","0","0","69346","66150","12200","52146","","","","","","","","","","","","","","N","","","","","","","","","","","","","","","N","","","","","",""
"126410177","","6500","6500","6500"," 36 months","  7.35%","201.75","A","A4","Manager","9 years","MORTGAGE","110000","Not Verified","Dec-2017","Current","n","https://lendingclub.com/browse/loanDetail.action?loan_id=126410177","","home_improvement","Home improvement","254xx","WV","23.78","1","Mar-1999","705","709","0","10","72","29","1","28574","27.9%","55","w","2327.04","2327.04","4835.36","4835.36","4172.96","662.40","0.0","0.0","0.0","Dec-2019","201.75","Jan-2020","Nov-2019","744","740","0","","1","Individual","","","","0","0","223353","2","3","1","3","3","53007","81","2","4","4268","37","102300","2","1","2","7","7702","57193","31","0","0","148","225","6","3","3","9","","3","","0","19","21","19","25","18","24","33","21","29","0","0","0","3","98.2","5.3","0","1","339047","83473","82900","67685","","","","","","","","","","","","","","N","","","","","","","","","","","","","","","N","","","","","",""
"126338469","","25000","25000","25000"," 36 months","  6.72%","768.74","A","A3","Office Manager","10+ years","OWN","40000","Source Verified","Dec-2017","Current","n","https://lendingclub.com/browse/loanDetail.action?loan_id=126338469","","debt_consolidation","Debt consolidation","167xx","PA","22.08","0","Jul-1983","690","694","0","46","","4","0","20761","33.5%","14","w","7789.75","7789.75","19426.43","19426.43","17210.25","2216.18","0.0","0.0","0.0","Dec-2019","768.74","Jan-2020","Nov-2019","754","750","0","46","1","Individual","","","","0","0","35734","0","1","0","1","18","14973","69","0","0","18556","43","62000","0","0","0","1","8934","36644","35.7","0","0","162","413","29","18","0","113","","18","46","1","2","3","2","7","5","3","9","3","4","0","0","0","0","92.9","0","0","0","83605","35734","57000","21605","","","","","","","","","","","","","","N","","","","","","","","","","","","","","","N","","","","","",""
"125193750","","5000","5000","5000"," 36 months"," 22.91%","193.32","E","E1","IT Manager","2 years","OWN","145000","Source Verified","Dec-2017","Current","n","https://lendingclub.com/browse/loanDetail.action?loan_id=125193750","","debt_consolidation","Debt consolidation","441xx","OH","28.54","1","Sep-2003","665","669","2","17","","30","0","56183","81.8%","61","f","2212.92","2212.92","4439.23","4439.23","2787.08","1652.15","0.0","0.0","0.0","Dec-2019","193.32","Jan-2020","Nov-2019","649","645","0","","1","Individual","","","","0","0","433298","2","12","2","4","4","199989","93","2","3","9896","90","68700","4","4","9","7","14443","1259","97","0","0","158","171","8","4","7","41","","2","","0","9","15","9","11","28","16","26","15","30","0","0","0","4","98.3","100","0","0","480847","256172","41600","216147","","","","","","","","","","","","","","N","","","","","","","","","","","","","","","N","","","","","",""
"126383696","","10000","10000","10000"," 36 months","  9.93%","322.35","B","B2","Inspector ","10+ years","MORTGAGE","49000","Source Verified","Dec-2017","Fully Paid","n","https://lendingclub.com/browse/loanDetail.action?loan_id=126383696","","debt_consolidation","Debt consolidation","280xx","NC","16.53","0","Jul-1993","690","694","0","33","","8","0","15430","46.1%","17","w","0.00","0.00","11220.2946233582","11220.29","10000.00","1220.29","0.0","0.0","0.0","Aug-2019","109.43","","Aug-2019","694","690","1","","1","Individual","","","","0","1491","45713","0","1","0","0","58","30283","","3","4","10264","46","33500","0","0","0","4","5714","14570","51.4","0","0","74","293","9","9","0","9","33","22","33","0","4","4","6","11","2","7","15","4","8","0","0","0","3","88.2","33.3","0","0","73220","45713","30000","39720","","","","","","","","","","","","","","N","","","","","","","","","","","","","","","N","","","","","",""
"126309246","","8000","8000","8000"," 36 months","  9.93%","257.88","B","B2","Pharmacy Technician","3 years","RENT","50000","Source Verified","Dec-2017","Fully Paid","n","https://lendingclub.com/browse/loanDetail.action?loan_id=126309246","","credit_card","Credit card refinancing","083xx","NJ","20.33","1","Sep-2010","670","674","2","22","","16","0","5414","78.5%","24","w","0.00","0.00","9008.8060878804","9008.81","8000.00","1008.81","0.0","0.0","0.0","Nov-2019","1346.48","","Nov-2019","634","630","0","22","1","Individual","","","","0","0","45523","1","9","0","0","33","40109","89","1","1","2973","87","6900","0","0","2","1","3035","135","97.1","0","0","87","87","6","6","0","63","","6","22","2","2","5","2","3","10","7","14","5","16","0","0","1","1","87.5","100","0","0","52074","45523","4700","45174","","","","","","","","","","","","","","N","","","","","","","","","","","","","","","N","","","","","",""
"126309870","","20000","20000","20000"," 36 months","  6.72%","614.99","A","A3","Installer","3 years","MORTGAGE","88000","Not Verified","Dec-2017","Current","n","https://lendingclub.com/browse/loanDetail.action?loan_id=126309870","","debt_consolidation","Debt consolidation","493xx","MI","24.36","0","Jan-2004","735","739","0","38","","10","0","21593","41.5%","27","w","7117.93","7117.93","14741.09","14741.09","12882.07","1859.02","0.0","0.0","0.0","Dec-2019","614.99","Jan-2020","Dec-2019","734","730","0","","1","Individual","","","","0","0","250596","0","3","2","3","7","57252","81","0","0","7097","57","52000","3","5","4","4","25060","28040","37.7","0","0","150","167","70","7","3","70","","7","","0","3","5","4","5","14","6","10","5","10","0","0","0","2","96.3","0","0","0","317109","78845","45000","75409","","","","","","","","","","","","","","N","","","","","","","","","","","","","","","N","","","","","",""
"126407653","","15750","15750","15750"," 36 months","  7.35%","488.84","A","A4","Service Coordinator","10+ years","RENT","96500","Source Verified","Dec-2017","Fully Paid","n","https://lendingclub.com/browse/loanDetail.action?loan_id=126407653","","debt_consolidation","Debt consolidation","968xx","HI","12.22","1","May-2003","705","709","0","10","","6","0","1868","10.7%","17","w","0.00","0.00","16391.951099659","16391.95","15750.00","641.95","0.0","0.0","0.0","Sep-2018","521.15","","Sep-2018","714","710","0","10","1","Individual","","","","0","0","128341","1","1","2","2","7","126473","","1","1","1263","11","17500","2","0","2","3","21390","15632","10.7","0","0","139","175","5","5","0","5","","4","","1","4","4","5","8","6","5","11","4","6","0","0","1","3","88.2","0","0","0","145171","128341","17500","127671","","","","","","","","","","","","","","N","","","","","","","","","","","","","","","N","","","","","",""
"125907898","","20000","20000","20000"," 36 months","  9.93%","644.69","B","B2","Vice President","2 years","OWN","211000","Not Verified","Dec-2017","Current","n","https://lendingclub.com/browse/loanDetail.action?loan_id=125907898","","debt_consolidation","Debt consolidation","530xx","WI","8.52","0","Mar-2002","670","674","1","64","64","7","1","7028","20.3%","17","w","7335.62","7335.62","15444.98","15444.98","12664.38","2780.60","0.0","0.0","0.0","Dec-2019","644.69","Jan-2020","Nov-2019","724","720","0","64","1","Individual","","","","0","0","76174","1","2","0","1","18","68989","76","3","3","6109","46","34600","1","1","1","4","10882","27572","20.3","0","0","133","151","4","4","2","4","71","4","71","3","3","3","4","6","4","4","7","3","7","0","0","0","3","82.4","0","1","0","122049","76174","34600","87292","","","","","","","","","","","","","","N","","","","","","","","","","","","","","","N","","","","","",""
"125566359","","10200","10200","10200"," 36 months","  9.93%","328.8","B","B2","Executive Assistant","9 years","MORTGAGE","65000","Verified","Dec-2017","Current","n","https://lendingclub.com/browse/loanDetail.action?loan_id=125566359","","credit_card","Credit card refinancing","775xx","TX","49.13","1","Nov-2002","725","729","1","21","","12","0","5440","40%","30","w","4059.77","4059.77","7548.33","7548.33","6140.23","1408.10","0.0","0.0","0.0","Dec-2019","328.8","Jan-2020","Nov-2019","629","625","0","","1","Joint App","175000","25.64","Verified","0","0","343688","1","6","1","1","6","121422","28","1","1","1436","31","13600","2","0","4","2","28641","6460","45.7","0","0","181","139","9","6","2","9","21","0","21","0","4","4","4","5","17","5","10","4","12","0","0","0","2","96.7","0","0","0","400175","126862","11900","162705","19914","665","669","Feb-2007","4","1","20","42.9","7","15","0","0","91","N","","","","","","","","","","","","","","","N","","","","","",""
"126171880","","8400","8400","8400"," 36 months"," 18.06%","303.94","D","D2","Welder ","4 years","MORTGAGE","60000","Source Verified","Dec-2017","Current","n","https://lendingclub.com/browse/loanDetail.action?loan_id=126171880","","debt_consolidation","Debt consolidation","300xx","GA","15.5","0","Sep-2008","675","679","0","","","6","0","8592","72.8%","8","w","3313.92","3313.92","7273.49","7273.49","5086.08","2187.41","0.0","0.0","0.0","Dec-2019","303.94","Jan-2020","Nov-2019","704","700","0","","1","Joint App","150000","16.12","Not Verified","0","0","217731","0","1","0","1","15","36664","","2","2","3483","73","11800","1","3","2","4","36289","109","98.1","0","0","111","48","9","9","1","10","","9","","0","2","4","2","2","3","4","4","4","6","0","0","0","2","100","100","0","0","233341","45256","5800","42838","19231","610","614","Dec-2003","0","0","10","93.8","4","11","0","0","53","N","","","","","","","","","","","","","","","N","","","","","",""
"126412424","","10000","10000","10000"," 36 months","  5.32%","301.15","A","A1","Paralegal","10+ years","MORTGAGE","100000","Source Verified","Dec-2017","Fully Paid","n","https://lendingclub.com/browse/loanDetail.action?loan_id=126412424","","debt_consolidation","Debt consolidation","087xx","NJ","8.7","0","Jun-1993","775","779","1","70","","31","0","8385","7.4%","63","w","0.00","0.00","10078.8121165712","10078.81","10000.00","78.81","0.0","0.0","0.0","Feb-2018","10086.2","","Nov-2019","799","795","0","","1","Individual","","","","0","0","381342","2","1","1","3","8","15155","60","5","8","7657","17","113600","3","0","3","13","14124","61087","11.3","0","0","152","294","2","2","4","6","70","6","70","0","2","5","10","21","8","29","51","5","31","0","0","0","6","98.4","0","0","0","507120","23540","68900","25084","","","","","","","","","","","","","","N","","","","","","","","","","","","","","","N","","","","","",""
"126365454","","12000","12000","12000"," 36 months","  6.72%","369","A","A3","Project Manager","10+ years","OWN","75000","Not Verified","Dec-2017","Current","n","https://lendingclub.com/browse/loanDetail.action?loan_id=126365454","","vacation","Vacation","063xx","CT","11.94","0","Jun-2003","800","804","0","","","9","0","1305","4.3%","16","w","4270.61","4270.61","8844.8","8844.80","7729.39","1115.41","0.0","0.0","0.0","Dec-2019","369.0","Jan-2020","Nov-2019","819","815","0","","1","Individual","","","","0","0","25636","0","1","0","1","14","24331","81","0","0","833","43","30300","1","0","0","1","2848","25495","4.9","0","0","63","174","48","14","0","48","","14","","0","4","4","7","11","3","8","13","4","9","0","0","0","0","100","0","0","0","60300","25636","26800","30000","","","","","","","","","","","","","","N","","","","","","","","","","","","","","","N","","","","","",""
"126193806","","24000","24000","24000"," 36 months","  7.97%","751.75","A","A5","Senior Valuation Consultant","4 years","RENT","70000","Source Verified","Dec-2017","Fully Paid","n","https://lendingclub.com/browse/loanDetail.action?loan_id=126193806","","debt_consolidation","Debt consolidation","606xx","IL","1.03","0","Jun-2014","755","759","0","","","2","0","1039","6.7%","2","w","0.00","0.00","26229.6422560055","26229.64","24000.00","2229.64","0.0","0.0","0.0","Aug-2019","6972.96","","Sep-2019","794","790","0","","1","Individual","","","","0","0","1039","0","0","0","0","","0","","1","1","540","7","15500","0","0","2","1","520","14461","6.7","0","0","","42","7","7","0","7","","7","","0","2","2","2","2","0","2","2","2","2","0","0","0","1","100","0","0","0","15500","1039","15500","0","","","","","","","","","","","","","","N","","","","","","","","","","","","","","","N","","","","","",""
"126165519","","4800","4800","4800"," 36 months"," 18.06%","173.68","D","D2","Management","10+ years","MORTGAGE","150000","Not Verified","Dec-2017","Current","n","https://lendingclub.com/browse/loanDetail.action?loan_id=126165519","","debt_consolidation","Debt consolidation","300xx","GA","30.86","0","Sep-1994","690","694","0","","","19","0","65610","68.2%","49","w","2041.60","2041.60","3982.6","3982.60","2758.40","1224.20","0.0","0.0","0.0","Dec-2019","173.68","Jan-2020","Nov-2019","649","645","0","","1","Individual","","","","0","0","398499","2","5","2","3","6","112149","82","1","5","19717","74","96200","0","3","1","8","22139","16626","79.6","0","0","174","279","11","6","6","11","","11","","0","7","9","8","18","9","13","34","9","19","0","0","0","3","100","62.5","0","0","503600","177759","81500","157790","","","","","","","","","","","","","","N","","","","","","","","","","","","","","","N","","","","","",""
"126417216","","25000","25000","25000"," 60 months"," 17.09%","622.53","D","D1","Business Analyst","10+ years","OWN","95000","Source Verified","Dec-2017","Current","n","https://lendingclub.com/browse/loanDetail.action?loan_id=126417216","","debt_consolidation","Debt consolidation","020xx","MA","13.61","0","Oct-1995","715","719","0","34","","8","0","16180","70%","16","w","17438.73","17438.73","14881.38","14881.38","7561.27","7320.11","0.0","0.0","0.0","Dec-2019","622.53","Jan-2020","Dec-2019","719","715","0","","1","Individual","","","","0","0","302580","0","1","1","1","10","28745","89","0","0","9741","81","23100","2","0","6","1","37823","2541","85.1","0","0","139","266","81","10","3","216","","10","34","0","3","5","3","3","4","6","8","5","8","0","0","0","1","81.3","66.7","0","0","375318","44925","17100","32218","","","","","","","","","","","","","","N","","","","","","","","","","","","","","","N","","","","","",""
"126413578","","32600","32600","32600"," 36 months"," 11.99%","1082.64","B","B5","Admissions Advisor","< 1 year","RENT","55000","Source Verified","Dec-2017","Fully Paid","n","https://lendingclub.com/browse/loanDetail.action?loan_id=126413578","","house","Home buying","958xx","CA","25.41","0","Dec-2003","660","664","1","","51","17","1","6366","25%","47","w","0.00","0.00","36636.1039357815","36636.10","32600.00","4036.10","0.0","0.0","0.0","Mar-2019","21533.43","","Nov-2019","684","680","0","","1","Individual","","","","0","0","45959","4","8","2","2","2","39593","75","3","5","2775","59","25500","1","1","2","7","2703","13467","24.3","0","0","168","124","1","1","1","2","","1","","0","4","8","4","13","22","9","24","8","17","0","0","0","5","100","0","1","0","78241","45959","17800","52741","","","","","","","","","","","","","","N","","","","","","","","","","","","","","","N","","","","","",""
"126070058","","36500","36500","36500"," 60 months"," 14.08%","850.81","C","C3","Hairdresser ","7 years","MORTGAGE","35000","Source Verified","Dec-2017","Current","n","https://lendingclub.com/browse/loanDetail.action?loan_id=126070058","","debt_consolidation","Debt consolidation","454xx","OH","29.73","0","Dec-1999","775","779","0","","","9","0","14201","53%","23","w","24865.25","24865.25","20348.06","20348.06","11634.75","8713.31","0.0","0.0","0.0","Dec-2019","850.81","Jan-2020","Nov-2019","734","730","0","","1","Joint App","115000","23.42","Source Verified","0","0","130225","0","2","0","1","22","10947","53","1","1","12109","53","26800","1","1","0","2","14469","6699","67.9","0","0","203","216","12","12","1","12","","22","","0","4","4","4","5","14","6","8","4","9","0","0","0","1","100","25","0","0","156609","25148","20900","20820","38864","705","709","Dec-1999","1","1","17","47.8","7","10","0","0","47","N","","","","","","","","","","","","","","","N","","","","","",""
"126378396","","10000","10000","10000"," 36 months"," 10.91%","326.97","B","B4","Manager","10+ years","RENT","30000","Not Verified","Dec-2017","Current","n","https://lendingclub.com/browse/loanDetail.action?loan_id=126378396","","debt_consolidation","Debt consolidation","952xx","CA","27.28","0","Jun-2001","700","704","1","","","10","0","13755","40.6%","24","w","3700.94","3700.94","7792.74","7792.74","6299.06","1493.68","0.0","0.0","0.0","Dec-2019","326.97","Jan-2020","Nov-2019","689","685","0","","1","Individual","","","","0","2964","17423","2","1","0","1","22","3668","46","2","3","8751","42","33900","0","1","1","4","1742","3132","80.5","0","0","118","198","6","6","0","6","","6","","0","3","4","3","10","4","9","20","4","10","0","0","0","2","100","66.7","0","0","41900","17423","16100","8000","","","","","","","","","","","","","","N","","","","","","","","","","","","","","","N","","","","","",""
